"","Full","No.Demographics","No.POI","No.PhyDist","No.Admin","LR.Stat..No.Demo.","LR.Stat..No.POI.","LR.Stat..No.PhyDist.","LR.Stat..No.Admin.","p_value..No.Demo.","p_value..No.POI.","p_value..No.PhyDist.","p_value..No.Admin."
"1",-14176.3075776039,-14217.496720741,-14360.2076743284,-14249.8919615458,-14177.0659811042,82.3782862741573,367.800193448937,147.168767883675,1.51680700060751,9.47999287127274e-18,1.35894778806853e-80,8.2291694789293e-31,0.218103329425726
"2",-33381.9469051601,-33583.0477088992,-35072.7330097995,-33702.5270511838,-33476.8576019459,402.201607478244,3381.57220927888,641.160292047323,189.821393571692,7.38360383706235e-87,0,1.9102965980132e-137,3.47789976623401e-43
"3",-45803.0113974404,-46132.0010906676,-48045.3724002036,-46272.0503126434,-46428.7433993346,657.979386454506,4484.72200552652,938.077830406037,1251.46400378838,2.7120417967368e-142,0,9.3566663827288e-202,3.98959644985725e-274
"4",-57312.4475111499,-57709.2039724348,-59468.1656941833,-57815.1471563639,-58293.4211595068,793.512922569716,4311.43636606689,1005.3992904279,1961.9472967138,1.10438765442971e-171,0,2.41262416714997e-216,0
"5",-68573.7446919844,-68949.0602209714,-70823.4276508529,-69155.8033222807,-69497.7288498978,750.631057973922,4499.3659177369,1164.11726059255,1847.96831582673,2.20174761948796e-162,0,9.56887642933229e-251,0
"6",-78745.4211122092,-79085.5491811449,-80812.6863373862,-79331.3757120493,-79772.5367609968,680.256137871416,4134.53045035407,1171.9091996802,2054.23129757514,4.01023518309721e-147,0,1.95774063002587e-252,0
"7",-88150.2745468294,-88434.3342081655,-90168.9951007122,-88866.8034053738,-89136.7421182806,568.119322672312,4037.4411077656,1433.05771708876,1972.93514290242,8.21067432751483e-123,0,4.6914812238436e-309,0
"8",-97181.8146907238,-97447.8791249779,-99369.3103320407,-97885.6522108846,-98027.5469380463,532.128868508124,4374.99128263374,1407.67504032157,1691.46449464487,5.19333934756258e-115,0,1.49740008084417e-303,0
"9",-106148.363189153,-106391.917902359,-108565.919090523,-106903.4523497,-106778.391687094,487.109426410141,4835.11180273944,1510.17832109355,1260.05699588172,2.96602076652247e-105,0,0,5.41378354351944e-276
"10",-113752.00495332,-114033.151975618,-116533.706247341,-114385.348581823,-114181.69818253,562.294044595299,5563.4025880413,1266.68725700595,859.38645842034,1.50345948044766e-121,0,5.55496816832642e-273,6.6213044732227e-189
"11",-120642.432397368,-120860.806065538,-123483.151811462,-121260.260111636,-121113.627012961,436.747336340341,5681.43882818735,1235.65542853519,942.389231185691,2.42419251339474e-94,0,2.96758168492253e-266,5.98609798951398e-207
"12",-128301.788999367,-128547.488418225,-131080.505458322,-128809.135216653,-128607.53205207,491.398837715242,5557.43291790917,1014.69243457148,611.486105405289,3.48848144568073e-106,0,2.33613004296611e-218,5.31518944754684e-135
"13",-135093.94927518,-135358.991685033,-137765.237963391,-135472.537603397,-135336.996776794,530.084819705226,5342.57737642049,757.176656434021,486.095003228053,1.44036865702356e-114,0,1.44707483940662e-162,1.00809579997148e-107
"14",-140781.589942075,-141104.039261471,-143395.09291517,-141106.225846484,-140997.859483559,644.898638792743,5227.0059461912,649.271808818972,432.539082968258,1.85950587798483e-139,0,3.35081438489989e-139,4.55261152426927e-96
"15",-145384.385091445,-145780.473290741,-147931.810938093,-145622.75853087,-145540.99728723,792.176398592885,5094.85169329646,476.746878849634,313.22439157113,2.15267716951569e-171,0,7.15824544323506e-102,4.33335444822674e-70
"16",-150027.875643842,-150442.434777906,-152423.63769147,-150213.065530971,-150160.907980852,829.118268129125,4791.52409525559,370.379774258181,266.064674021036,2.09424175925242e-179,0,6.96642561463052e-79,8.17747728110537e-60
"17",-154060.196222953,-154373.177920439,-156386.836275797,-154205.81940727,-154186.807744328,625.963394973543,4653.28010568907,291.246368635038,253.223042750033,2.36964081566328e-135,0,8.37254057449893e-62,5.14997257057369e-57
"18",-156941.145032688,-157160.618082163,-159536.644872348,-157044.506696664,-157051.641729154,438.946098948654,5190.99967931892,206.723327951797,220.993392930599,8.09463720608358e-95,0,1.3462964169073e-43,5.49163205733864e-50
"19",-159179.008812356,-159284.446612452,-161936.569692348,-159293.357812698,-159366.340616507,210.875600192288,5515.1217599833,228.698000683158,374.663608302071,1.88340400861591e-45,0,2.51694644952688e-48,1.80633773379725e-83
"20",-160587.795051402,-160618.894235448,-163698.95371458,-160703.41256388,-160855.545639267,62.1983680934645,6222.31732635765,231.235024956521,535.501175731362,1.99272263205759e-13,0,7.15675405471542e-49,1.79535260772704e-118
