null_mean,null_std,null_min,null_max,null_median,confidence_interval,taxonomy
3.006778283353575e-05,0.001352678180734527,-0.003617211541826296,0.0034592819937903077,7.810235540914288e-05,"[-0.0026016018794725666, 0.002565316357826678]",Shopping
-5.771328098977331e-05,0.0011747826548599194,-0.002663097333288508,0.0035412803409882202,2.2137087153872272e-05,"[-0.0022101014974343423, 0.0020743643608379203]",Food
-0.0001041151302480489,0.0028732855651069527,-0.007292244883888995,0.0076374695417652915,-0.00019337006262860478,"[-0.005654204963316262, 0.005883632682952259]",Coffee / Tea
-0.00026040208260216384,0.00338160827890081,-0.011772255578198311,0.008760702916621886,-0.0007097392280804542,"[-0.005562694564726184, 0.006898207011862965]",Entertainment
0.00017446022350012133,0.0020958809229139528,-0.006260847242976617,0.004694070627365978,0.00017246901000982068,"[-0.004065565117231292, 0.004277102359133854]",Personal Care Service
-7.039288207486314e-05,0.0018720332630803797,-0.005146771750029982,0.005168023699436522,-0.0001652506740676013,"[-0.0029818439245008926, 0.003568765593107699]",Transportation
1.665352825992418e-05,0.0035818486502441176,-0.01108076913474504,0.008545068436975722,0.0002649960070128167,"[-0.007374135597705437, 0.006491829743362719]",Public Administration
-0.00011771575103370976,0.004784635741352752,-0.012355296879602662,0.010177648814047261,2.1376429100367624e-05,"[-0.010040738224010127, 0.007667374466806089]",College
0.0003109725328482779,0.0024882382198921087,-0.006252989812199411,0.005001662806637292,0.00019492830977949776,"[-0.0037714664841988605, 0.004790562317784808]",Financial Service
0.0003358071799077682,0.004279315273752991,-0.010366512213318765,0.009086602849037641,-9.610306357150555e-05,"[-0.006004793900348154, 0.00750525788967364]",Neighborhood Service
-0.00019796331435288498,0.002297516788314304,-0.00601169174299191,0.007856617606858523,-0.0004449493965201624,"[-0.0042107995607763285, 0.00515307719106519]",Sports
0.00028369609148967657,0.0037843600737999723,-0.009395041749320428,0.00992634727311055,0.00010620303479015749,"[-0.006524766847306373, 0.008190205848956068]",Service
-0.0001665356177570097,0.0023199445136162754,-0.00633524581271535,0.0048685132162348595,-0.0001945207075530969,"[-0.005498387193595563, 0.004347922497501919]",Automotive Service
0.00021426156559863313,0.002573985477834341,-0.005037014471101511,0.006867590247018655,0.0001808419030992956,"[-0.0045486946647229805, 0.004404009686238089]",Grocery
-0.001249759485594178,0.011459639512067804,-0.03438324496676614,0.02637644845302883,-0.0015004206699213572,"[-0.021476440670442597, 0.02488119984830571]",Arts / Museum
4.0482116914786706e-05,0.002831849065488982,-0.009066488968602668,0.006194752126023731,0.00032964357346157723,"[-0.005198185987154649, 0.005427537750657267]",Office
0.0007670588405616843,0.0100130297493206,-0.021473326828966976,0.030405114683766336,-0.00042403084010053985,"[-0.016517192761615736, 0.020631804183302786]",School
0.00025095615439114303,0.0028694158797331793,-0.008009764739750711,0.006772231180314768,0.0005783867763762783,"[-0.00628958917956186, 0.0050323849192812475]",Industry
-0.00030732352953157253,0.0067632341602357465,-0.018329037847871262,0.013636362438546898,0.0005906656351067968,"[-0.01577744781200485, 0.011347099312867112]",Health
-0.0008899330611248865,0.004703859268545328,-0.011861198323036413,0.010668814818848002,-0.000787479405922749,"[-0.009551876801955544, 0.008242427148910212]",City / Outdoors
0.005112491317775122,0.05152126921095689,-0.1148023998270135,0.1586449459345428,0.014055911163717558,"[-0.09672581326857006, 0.09548579648881587]",Agriculture
