HOUR_OF_DAY,barrier_visit_portion,non_barrier_visit_portion,aca_size,barrier_visits_relative_difference
0,0.0008726894530326668,0.004994213222518114,165564,-0.8252598729469843
1,0.0012713720670038922,0.002803962582009003,95434,-0.5465802307201366
2,0.0010255440520651128,0.001933445708627302,66278,-0.46957701088321563
3,0.0007790857088829007,0.001983082595472932,67114,-0.6071340091121611
4,0.0008232086859231945,0.004118542457300773,136863,-0.8001213549555799
5,0.001642320238264076,0.010623981070982405,351518,-0.8454138587699677
6,0.004542775650419956,0.024276548509810463,805750,-0.8128739079781394
7,0.012459068059692085,0.05750473222372087,1913998,-0.7833383866353754
8,0.024977702138388565,0.0806203052416982,2707211,-0.690181002620793
9,0.03135284199246758,0.06847040405223519,2331392,-0.5420964367531861
10,0.03791329835011582,0.05955144084102189,2061479,-0.3633521235644172
11,0.052535022613025735,0.060273139087649474,2131398,-0.1283841623607978
12,0.0723285901133015,0.0664181734079674,2394510,0.08898794414338855
13,0.07687231125608661,0.06897410494538624,2492242,0.11450973255766321
14,0.08181755148993838,0.07294723402589573,2637444,0.12159909258374015
15,0.09412975306891064,0.07731491193318003,2818882,0.21748509718620582
16,0.1003403772514537,0.07612703189884776,2799867,0.3180650125014585
17,0.1099257788493358,0.07728546112269066,2868042,0.4223345148297509
18,0.10333443640775934,0.07034945779523993,2621037,0.4688732457402291
19,0.07766305803747302,0.04997106151090143,1875314,0.5541606619769412
20,0.04905687136576372,0.0294328639017305,1115070,0.6667379541981788
21,0.030959517168565532,0.017363553628054546,664228,0.7830173380260012
22,0.02031106698813407,0.010687515059027708,412824,0.9004480345482536
23,0.013065758993996123,0.005974833178031438,236217,1.1867989623604809
